fen,title,turn,difficulty,hint,solution
"r1bqk2r/pppp1ppp/2n5/4p3/1bB1n3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6",Đòn đánh đôi cơ bản,w,1,Quan sát Mã e4,1. dxe4 Bxc3+ 2. bxc3 Trắng hơn quân.
"r1b1k2r/ppppqppp/2n5/4P3/2B2Bn1/2P2N2/P4PPP/R2Q1RK1 b kq - 0 10",Tấn công điểm f2,b,2,Chiếu Vua và bắt Hậu,1... Qc5 2. Bxf7+ Kxf7
"r2qkb1r/pp2pppp/2n2n2/3p4/3P2b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq - 3 7",Gỡ ghim chủ động,w,2,Đổi quân,1. Ne5 Bxe2 2. Qxe2
"r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4",Chiếu bắt Hậu đen,w,2,Nước chiếu mở,1. Bxf7+ Kxf7 2. Nxe5+
"rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 3",Chiếm ưu thế trung tâm,w,1,Phát triển quân Mã,1. d4 exd4 2. Qxd4
"r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 5",Khóa chặt Tượng,w,3,Đẩy Tốt e5,1. e5 dxe5 2. Nxe5
"r1bq1rk1/pppp1ppp/2n2n2/4p3/1bB1P3/2NP1N2/PPP2PPP/R1BQK2R w KQ - 1 6",Phòng thủ vững chắc,w,2,Nhập thành an toàn,1. O-O Bxc3 2. bxc3
"r2qk2r/ppp2ppp/2n1bn2/3pp3/1bB1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6",Đòn ghim Tượng trung tâm,w,3,Đổi Tốt trung tâm,1. exd5 Nxd5 2. Nxd5
"r1bqkb1r/pp3ppp/2np1n2/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6",Tấn công điểm yếu f7,w,2,Đưa Mã lên g5,1. Ng5 O-O 2. Qh5
"r1b1kb1r/ppppqppp/2n5/4p3/2B1n3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6",Phản công cánh Vua,w,3,Đòn mở đường,1. dxe4 Bxc3+ 2. Bd2
"r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5",Tạo thế trận mở,w,2,Đẩy Tốt d4,1. d4 exd4 2. Nxd4
"r1bqkb1r/pppp1ppp/8/4n3/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5",Đòn chiếu bắt Xe,w,3,Chiếu Vua bắt Xe,1. Bxf7+ Kxf7 2. Nxe5+
"r1b2rk1/pp1p1ppp/2n1pn2/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQ - 0 7",Khai thác cột mở d,w,2,Đẩy Tốt e5,1. e5 Ng4 2. Bf4
"r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 1 5",Tranh chấp ô d5,w,1,Đẩy Tốt c3 chuẩn bị d4,1. O-O d6 2. Bg5
"r1bqkb1r/pppp1ppp/2n5/8/2B1n3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 5",Tốt trung tâm bị đe dọa,b,2,Đẩy d5 phản công,1... d5 2. Re1 Be7
"r1bqk2r/pppp1ppp/8/3Nn3/2B1P3/8/PPPP1PPP/R1BQK2R w KQkq - 1 6",Đòn nhảy Mã chiếu mở,w,3,Mã nhảy c7,1. Nxc7+ Qxc7 2. Bxf7+
"r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4",Đòn phối hợp Evans,w,2,Đẩy b4 thí Tốt,1. b4 Bxb4 2. c3
"r1b1k2r/ppp2ppp/2p5/4P3/1b4n1/2N2N2/PPP2PPP/R1B1K2R w KQkq - 0 10",Ghim Mã phòng ngự,w,2,Đưa Tượng lên d2,1. Bd2 Bxc3 2. Bxc3
"r2qkb1r/ppp2ppp/2n1bn2/3pp3/4P3/2NP1N2/PPP1BPPP/R1BQK2R w KQkq - 0 6",Mở toang trung tâm,w,1,Đổi Tốt exd5,1. exd5 Nxd5 2. O-O
"r1bq1rk1/pppp1ppp/2n5/2b1p3/2B1P1n1/2NP1N2/PPP2PPP/R1BQK2R w KQ - 1 6",Phòng thủ ô f2,w,2,Nhập thành,1. O-O d6 2. h3
"r1bqk2r/pppp1ppp/2n2n2/4p3/1bB1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 4 5",Đòn ghim Tốt d6,w,2,Nhập thành,1. O-O O-O 2. d3
"r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5",Bẫy khai cuộc trung tâm,w,3,Nước Mã ăn Mã,1. Nxe4 d5 2. Bd3
"r1b1k2r/pppp1ppp/2n2q2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 1 6",Đòn chặn Tượng,w,2,Đưa Mã lên d5,1. Nd5 Qd8 2. Bg5
"r1bqk2r/ppppbppp/2n5/4p3/2B1n3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6",Chiếu hết kinh điển,w,3,Mã nhảy d5,1. dxe4 O-O 2. Nd5
